"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-07","0.00","84","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-08","0.00","84","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-09","0.06","83","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-10","1.10","84","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-11","0.00","87","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-12","0.06","84","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-14","0.51","83","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-21","0.00","81","88",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-28","0.00","80","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-29","0.00","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-30","0.00","86","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-07-31","0.00","85","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-01","0.39","81","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-02","0.55","82","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-03","0.24","86","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-04","0.00","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-05","0.00","86","96",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-06","0.00","86","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-08","0.00","85","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-09","0.04","83","87",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-10","0.12","82","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-11","0.04","81","90",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-12","0.02","82","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-13","0.00","83","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-14","0.00","86","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-15","0.00","84","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-16","0.00","84","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-17","0.87","82","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-19","0.00","84","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-21","0.00","85","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-22","0.00","85","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-23","0.00","85","93",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-25","0.88","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-26","0.01","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-27","0.00","84","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-28","0.00","86","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-29","0.08","84","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-08-31",,"80","86",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-09","0.28","83","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-10","0.00","84","89",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-11","0.00","85","92",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-12","0.00","85","94",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-13","0.03","85","95",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-15","0.31","82","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-16","0.26","82","91",
"BGM00041907","ISHURDI, BG","24.153","89.049","13.7","2000-09-17","0.24","80","88",
